Trial,S1_val,S1_std,S2_val,S2_std,Decision (S1>S2)
605,-8.800000000000004,2,0,8,0
606,-8.800000000000004,2,0,8,1
607,-8.800000000000004,2,0,8,0
608,-8.800000000000004,2,0,8,0
609,-8.800000000000004,2,0,8,0
610,-8.800000000000004,2,0,8,0
611,-8.800000000000004,2,0,8,0
612,-8.800000000000004,2,0,8,1
613,-8.800000000000004,2,0,8,0
614,-8.800000000000004,2,0,8,1
615,-8.800000000000004,2,0,8,0
616,-8.800000000000004,2,0,8,0
617,-8.800000000000004,2,0,8,0
618,-8.800000000000004,2,0,8,0
619,-8.800000000000004,2,0,8,1
620,-8.800000000000004,2,0,8,0
621,-8.800000000000004,2,0,8,0
622,-8.800000000000004,2,0,8,0
623,-8.800000000000004,2,0,8,0
624,-8.800000000000004,2,0,8,0
625,-8.800000000000004,2,0,8,0
626,-8.800000000000004,2,0,8,0
627,-8.800000000000004,2,0,8,0
628,-8.800000000000004,2,0,8,0
629,-8.800000000000004,2,0,8,0
630,-8.800000000000004,2,0,8,0
631,-8.800000000000004,2,0,8,1
632,-8.800000000000004,2,0,8,0
633,-8.800000000000004,2,0,8,0
634,-8.800000000000004,2,0,8,0
635,-8.800000000000004,2,0,8,0
636,-8.800000000000004,2,0,8,0
637,-8.800000000000004,2,0,8,0
638,-8.800000000000004,2,0,8,1
639,-8.800000000000004,2,0,8,0
640,-8.800000000000004,2,0,8,1
641,-8.800000000000004,2,0,8,0
642,-8.800000000000004,2,0,8,0
643,-8.800000000000004,2,0,8,0
644,-8.800000000000004,2,0,8,1
645,-8.800000000000004,2,0,8,0
646,-8.800000000000004,2,0,8,0
647,-8.800000000000004,2,0,8,0
648,-8.800000000000004,2,0,8,0
649,-8.800000000000004,2,0,8,0
650,-8.800000000000004,2,0,8,0
651,-8.700000000000005,2,0,8,0
652,-8.700000000000005,2,0,8,0
653,-8.700000000000005,2,0,8,0
654,-8.700000000000005,2,0,8,0
655,-8.700000000000005,2,0,8,0
656,-8.700000000000005,2,0,8,0
657,-8.700000000000005,2,0,8,0
658,-8.700000000000005,2,0,8,0
659,-8.700000000000005,2,0,8,0
660,-8.700000000000005,2,0,8,0
661,-8.700000000000005,2,0,8,0
662,-8.700000000000005,2,0,8,0
663,-8.700000000000005,2,0,8,0
664,-8.700000000000005,2,0,8,0
665,-8.700000000000005,2,0,8,0
666,-8.700000000000005,2,0,8,0
667,-8.700000000000005,2,0,8,0
668,-8.700000000000005,2,0,8,0
669,-8.700000000000005,2,0,8,0
670,-8.700000000000005,2,0,8,0
671,-8.700000000000005,2,0,8,0
672,-8.700000000000005,2,0,8,0
673,-8.700000000000005,2,0,8,0
674,-8.700000000000005,2,0,8,0
675,-8.700000000000005,2,0,8,0
676,-8.700000000000005,2,0,8,0
677,-8.700000000000005,2,0,8,0
678,-8.700000000000005,2,0,8,0
679,-8.700000000000005,2,0,8,0
680,-8.700000000000005,2,0,8,1
681,-8.700000000000005,2,0,8,0
682,-8.700000000000005,2,0,8,0
683,-8.700000000000005,2,0,8,0
684,-8.700000000000005,2,0,8,0
685,-8.700000000000005,2,0,8,0
686,-8.700000000000005,2,0,8,0
687,-8.700000000000005,2,0,8,1
688,-8.700000000000005,2,0,8,0
689,-8.700000000000005,2,0,8,0
690,-8.700000000000005,2,0,8,0
691,-8.700000000000005,2,0,8,0
692,-8.700000000000005,2,0,8,0
693,-8.700000000000005,2,0,8,0
694,-8.700000000000005,2,0,8,0
695,-8.700000000000005,2,0,8,1
696,-8.700000000000005,2,0,8,0
697,-8.700000000000005,2,0,8,0
698,-8.700000000000005,2,0,8,0
699,-8.700000000000005,2,0,8,0
700,-8.700000000000005,2,0,8,0
701,-8.600000000000005,2,0,8,0
702,-8.600000000000005,2,0,8,0
703,-8.600000000000005,2,0,8,0
704,-8.600000000000005,2,0,8,1
705,-8.600000000000005,2,0,8,0
706,-8.600000000000005,2,0,8,0
707,-8.600000000000005,2,0,8,0
708,-8.600000000000005,2,0,8,0
709,-8.600000000000005,2,0,8,0
710,-8.600000000000005,2,0,8,1
711,-8.600000000000005,2,0,8,0
712,-8.600000000000005,2,0,8,0
713,-8.600000000000005,2,0,8,1
714,-8.600000000000005,2,0,8,0
715,-8.600000000000005,2,0,8,0
716,-8.600000000000005,2,0,8,0
717,-8.600000000000005,2,0,8,0
718,-8.600000000000005,2,0,8,0
719,-8.600000000000005,2,0,8,0
720,-8.600000000000005,2,0,8,0
721,-8.600000000000005,2,0,8,0
722,-8.600000000000005,2,0,8,0
723,-8.600000000000005,2,0,8,1
724,-8.600000000000005,2,0,8,0
725,-8.600000000000005,2,0,8,0
726,-8.600000000000005,2,0,8,0
727,-8.600000000000005,2,0,8,0
728,-8.600000000000005,2,0,8,0
729,-8.600000000000005,2,0,8,0
730,-8.600000000000005,2,0,8,0
731,-8.600000000000005,2,0,8,1
732,-8.600000000000005,2,0,8,0
733,-8.600000000000005,2,0,8,0
734,-8.600000000000005,2,0,8,0
735,-8.600000000000005,2,0,8,0
736,-8.600000000000005,2,0,8,0
737,-8.600000000000005,2,0,8,0
738,-8.600000000000005,2,0,8,0
739,-8.600000000000005,2,0,8,0
740,-8.600000000000005,2,0,8,1
741,-8.600000000000005,2,0,8,0
742,-8.600000000000005,2,0,8,0
743,-8.600000000000005,2,0,8,1
744,-8.600000000000005,2,0,8,0
745,-8.600000000000005,2,0,8,0
746,-8.600000000000005,2,0,8,0
747,-8.600000000000005,2,0,8,0
748,-8.600000000000005,2,0,8,1
749,-8.600000000000005,2,0,8,0
750,-8.600000000000005,2,0,8,0
751,-8.500000000000005,2,0,8,0
752,-8.500000000000005,2,0,8,1
753,-8.500000000000005,2,0,8,0
754,-8.500000000000005,2,0,8,0
755,-8.500000000000005,2,0,8,0
756,-8.500000000000005,2,0,8,0
757,-8.500000000000005,2,0,8,0
758,-8.500000000000005,2,0,8,0
759,-8.500000000000005,2,0,8,0
760,-8.500000000000005,2,0,8,0
761,-8.500000000000005,2,0,8,0
762,-8.500000000000005,2,0,8,0
763,-8.500000000000005,2,0,8,0
764,-8.500000000000005,2,0,8,0
765,-8.500000000000005,2,0,8,0
766,-8.500000000000005,2,0,8,0
767,-8.500000000000005,2,0,8,1
768,-8.500000000000005,2,0,8,0
