S1_std,S2_std,S2_val,S1_val,P_choose1,N_trials
0,0,0,6.29999999999994,1.0,50
0,0,0,6.399999999999942,1.0,50
0,0,0,6.499999999999943,1.0,50
0,0,0,6.599999999999941,1.0,50
0,0,0,6.699999999999939,1.0,50
0,0,0,6.79999999999994,1.0,50
0,0,0,6.899999999999942,1.0,50
0,0,0,6.99999999999994,1.0,50
0,0,0,7.0999999999999375,1.0,50
0,0,0,7.199999999999939,1.0,50
0,0,0,7.29999999999994,1.0,50
0,0,0,7.399999999999938,1.0,50
0,0,0,7.499999999999936,1.0,50
0,0,0,7.5999999999999375,1.0,50
0,0,0,7.699999999999939,1.0,50
0,0,0,7.799999999999937,1.0,50
0,0,0,7.899999999999935,1.0,50
0,0,0,7.999999999999936,1.0,50
0,0,0,8.099999999999937,1.0,50
0,0,0,8.199999999999935,1.0,50
0,0,0,8.299999999999933,1.0,50
0,0,0,8.399999999999935,1.0,50
0,0,0,8.499999999999936,1.0,50
0,0,0,8.599999999999934,1.0,50
0,0,0,8.699999999999932,1.0,50
0,0,0,8.799999999999933,1.0,50
0,0,0,8.899999999999935,1.0,50
0,0,0,8.999999999999932,1.0,50
0,0,0,9.09999999999993,1.0,50
0,0,0,9.199999999999932,1.0,50
0,0,0,9.299999999999931,1.0,50
0,0,0,9.399999999999933,1.0,50
0,0,0,9.499999999999927,1.0,50
0,0,0,9.59999999999993,1.0,50
0,0,0,9.699999999999932,1.0,50
0,0,0,9.79999999999993,1.0,50
0,0,0,9.899999999999928,1.0,50
0,0,0,9.999999999999927,1.0,50
